"","parid","rho","tau","beta1","beta2","beta3","beta4","beta5","beta6","nu","gamma","sigma","theta0","alpha","mu","delta","sig_sq","S_0","E_0","I_0","A_0","R_0","pop_0"
"52",52,0.504577633772756,823.078878822587,5.17258621913318,3.38471777747405,6.53126520939849,2.23931939059163,3.52706003999207,0.799581046460544,0.957084012817795,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.35,0.996458388500319,0.00177077769032209,0.00177083380935904,0,0,10911819
"53",53,0.198650680845938,699.144355263512,4.2899838436509,2.14774332705605,4.53322927863164,4.00016517751017,4.70650468855101,2.07566790981975,0.963873136625831,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.35,0.998528973669329,0.000568794062080845,0.000902232268589942,0,0,10911819
"54",54,0.531853643761946,852.057821017476,7.38406183456068,1.54123198564829,2.78118409532136,3.45709340273353,6.64298437566297,0.999637905554873,0.995813775942715,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.35,0.997171521122783,0.00152733281962378,0.00130114605759309,0,0,10911819
"55",55,0.363171547112976,502.007816345686,7.99759053544324,3.64315275389234,4.38143414275723,3.35797265539008,4.87369070879027,2.31974992076302,0.989299141016743,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.37,0.998239204664484,0.000418304046094123,0.00134249128942181,0,0,10911819
"56",56,0.558335034785382,673.085291475616,4.1928189495866,4.16904429657637,5.01256112628575,2.19197679743441,4.49361891990045,3.28324175193904,0.991336091591222,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.37,0.999022672232927,0.000353749557046607,0.000623578210026146,0,0,10911819
"57",57,0.367123241596468,896.662328050021,6.39969850432666,1.64203092571631,3.6854906350723,4.79393075145883,7.85214945316019,2.62532371875836,0.954485561877568,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.37,0.998158442891754,0.00177064731735945,7.09097908862731e-05,0,0,10911819
"58",58,0.924415871245954,188.923229767865,6.72079597476665,2.59618498097484,4.3873331613185,2.37180701857276,7.6511271167155,3.13389056815855,0.979530300062439,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.39,0.996600653269361,0.00101612466669469,0.00238322206394399,0,0,10911819
"59",59,0.404540218483295,639.801566628859,7.14819402175004,4.25428541919146,2.99956137333941,4.79588026035616,3.99736816817165,1.29524365856181,0.967710048728992,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.39,0.997987750942834,0.000677836012397444,0.00133441304476847,0,0,10911819
"60",60,0.672924902083123,717.324785122852,4.37899310940491,4.51816732288806,4.50959995061278,3.01196673086196,5.47760960129507,1.20120716285794,0.986551910095386,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.39,0.995966642244741,0.00177945223876296,0.00225390551649574,0,0,10911819
"61",61,0.839227390008216,217.114444527866,5.16140295027671,2.40805472541433,4.11095494682232,1.40302849039655,3.98278350717049,3.32335298429822,0.97224548482832,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.41,0.997781273903147,0.000627569985107202,0.00159115611174613,0,0,10911819
"62",62,0.909835479690695,735.988457352497,7.21542875542569,2.68950037705114,4.19734680695088,1.83348268626626,6.7989335378172,4.09299495894829,0.956328992179073,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.41,0.996960150553581,0.00114300322490774,0.00189684622151139,0,0,10911819
"63",63,0.30339795660393,343.834801679171,5.88756852844625,2.87903897227396,3.58942020019342,2.07781946767999,6.61594786884796,2.56591998776015,0.964492091338636,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.41,0.997487596476316,0.00180167446510801,0.000710729058575899,0,0,10911819
"64",64,0.785854156833645,431.5641832262,6.81901809305122,2.2421935708975,2.89579507081202,4.45696037425744,5.79930868101718,1.03795169613847,0.976667802335002,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.43,0.997529101846099,0.00059266551507834,0.0018782326388227,0,0,10911819
"65",65,0.190281127813315,930.34050661676,6.11533591010111,4.08751328038337,4.61048232726224,3.24888540110605,3.79354843827197,2.56982136554841,0.982160751571007,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.43,0.998563351208081,0.000818427529953352,0.000618221261965662,0,0,10911819
"66",66,0.230890965628491,283.963271579197,6.1455694118663,4.46963574455023,3.22322580883733,4.36083054523844,6.2986773878824,3.33333204562258,0.978235996034468,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.43,0.997425502916888,0.00174801645991097,0.000826480623200872,0,0,10911819
"67",67,0.428573689054981,861.915740418402,7.64323844512438,2.4294663679939,4.21789013699019,2.4192610811959,3.71128743116668,3.30582477766242,0.966071618429485,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.45,0.998084750329844,0.000642465983358632,0.00127278368679758,0,0,10911819
"68",68,0.433723225255909,787.136379013955,5.41781993895826,1.93079550729294,3.18899393925122,2.77896184579574,4.2057336448188,0.695765823960051,0.990420192605945,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.45,0.996959545801246,0.00153557617597784,0.00150487802277583,0,0,10911819
"69",69,0.177103312632759,191.464997525166,7.92401532714987,3.1774494744889,6.19079029101718,2.31571168184916,6.91188202267146,0.720406180392762,0.953657240781073,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.45,0.997062401067051,0.000955672231938749,0.00198192670100985,0,0,10911819
"70",70,0.96397432562525,766.270683474781,6.69332390484218,4.27791568539514,3.26258508463971,3.87450178502439,7.16441621030266,2.1549017031216,0.993032558357987,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.47,0.998290620041675,0.000618482048400476,0.00109089790992497,0,0,10911819
"71",71,0.43576257611029,661.284282466049,7.32990674998659,4.18987814033241,3.07400223062095,3.3752476960007,3.51241544862299,2.50330574100776,0.95951630426946,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.47,0.997149006257004,0.000606879750586169,0.00224411399241,0,0,10911819
"72",72,0.489705243244126,916.833890157514,7.80909718138089,2.44534009131364,4.96540818969228,1.44872872534459,6.242740419141,3.90591792527039,0.970060108313982,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.47,0.997002897548177,0.00161718409548082,0.00137991835634224,0,0,10911819
"73",73,0.589416671816317,822.542530086294,5.34874936102129,2.22801780321155,4.58158569066887,4.80107478619069,4.07005457658167,3.18250533908501,0.976426399838061,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.49,0.997699287014845,0.00152354501419601,0.000777167970959032,0,0,10911819
"74",74,0.379704638569686,268.179208301472,5.5424992461049,2.30635533922061,3.80677595984659,3.05586250626953,6.99878117238951,1.66496987550537,0.960601066895711,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.49,0.998531644116725,0.00088446015357931,0.000583895729695793,0,0,10911819
"75",75,0.784525309737192,764.834467421972,7.49982485692049,3.11437113484861,5.03148896305489,3.87703840456064,5.00898858235963,2.49950703178754,0.965699894061879,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.49,0.997240095566318,0.000796990141782981,0.00196291429189914,0,0,10911819
"76",76,0.408581146604876,978.595274016364,8.13158334746461,2.89481269183728,2.91263382618653,1.60602809790884,4.92305182339049,1.6748922377065,0.989943285666157,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.51,0.996859353648369,0.00179778417519034,0.00134286217644072,0,0,10911819
"77",77,0.29919945679853,704.702947754154,6.02392088581818,1.85358695998888,4.83253411140565,3.52711016426308,7.54353595020489,1.30117048639814,0.957759507422916,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.51,0.999203275688233,0.000238192135336714,0.000558532176430349,0,0,10911819
"78",78,0.829429623866344,137.828000084706,7.04076633025915,1.85147292225415,3.77720827693941,1.51991979856455,4.63464864240785,1.0166566461765,0.991228287611948,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.51,0.997516386337085,0.00134358994893424,0.00114002371398125,0,0,10911819
"79",79,0.875409661127688,595.175997297674,6.560030452034,2.28222819806661,5.95418193511406,3.34646016834472,3.7178978154541,2.47515234088165,0.97948545627892,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.53,0.997073419911234,0.000618121222119579,0.00230845886664644,0,0,10911819
"80",80,0.880191527054876,325.380896338281,7.09302787128681,4.41347013283422,5.45064000321288,3.42456355479,4.24042162816293,3.08431469184662,0.990714966488978,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.53,0.997880262254448,1.43451834651695e-05,0.00210539256208637,0,0,10911819
"81",81,0.26344249893234,563.740431443221,5.90167642926776,1.99961122962387,6.25739013950336,3.44317318761401,5.49030541618152,1.40393067799996,0.963229434558018,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.53,0.999065755532514,0.000651806987620422,0.000282437479865524,0,0,10911819
"82",82,0.905744109469321,367.349752746661,7.91374922901703,4.67146539696606,4.47009398055529,3.35739669479521,4.80363559196038,3.99127561390908,0.97925866750909,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.55,0.999417501324929,0.00042315991371884,0.000159338761351823,0,0,10911819
"83",83,0.800778529253068,461.754283422061,5.2979369101153,2.84709123904826,4.01265424574093,4.80412500510235,3.89270285906979,3.65456137216761,0.981742093101982,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.55,0.997491037422781,0.00096635253052249,0.00154261004669669,0,0,10911819
"84",84,0.753942479948297,275.057514310304,7.96079111281561,2.07378429076114,3.28648497501846,2.07876780324657,7.57807394560524,3.50190752439645,0.969117205248431,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.55,0.998885555926533,0.00039159209558751,0.0007228519778795,0,0,10911819
"85",85,0.903071327877837,689.876821109807,6.8621891204869,2.41667020651743,3.86431516722638,3.29449159444441,3.71860565876258,2.58514880499331,0.954307741486801,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.57,0.998896986770997,0.00034866769307135,0.000754345535931332,0,0,10911819
"86",86,0.956515425415949,493.345493727799,8.42757629334753,2.09670261638395,5.00944130142639,4.03156812593728,5.62819848855316,1.03018720499967,0.982396768081006,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.57,0.996204048216031,0.00168077906912195,0.00211517271484717,0,0,10911819
"87",87,0.439041865664603,616.513564987112,4.79314091704674,1.51091266401033,5.84970527356034,3.77530896632099,4.23653304155513,2.60387970677367,0.965250898323308,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.57,0.997825341095277,0.000387570261990889,0.00178708864273252,0,0,10911819
"88",88,0.459958191977149,976.207092235052,4.04178049409701,2.70941539655304,4.59628975412758,4.36739011306132,4.18085259128913,3.08430292498911,0.966712740069984,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.59,0.998062277346806,0.00173725059553492,0.000200472057658711,0,0,10911819
"89",89,0.76999503837899,232.635155817246,5.1956591134688,4.00549019714854,4.51844980132147,2.22305897217863,4.49587956534761,3.82547679905252,0.971530329306615,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.59,0.999766451275184,1.80469433903903e-05,0.000215501781425171,0,0,10911819
"90",90,0.253066810929717,423.273308783043,5.00080194619578,3.99336269545329,6.31763124302218,1.85170089051072,7.78714378230176,0.900428222049033,0.965749861168878,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.59,0.999162950903853,0.000395354070100103,0.000441695026046508,0,0,10911819
"91",91,0.860605498659716,328.119814433431,4.2595684969943,3.43600718692873,3.47380722100707,4.33590196001417,7.08491821361364,4.08401912689993,0.997187556359277,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.61,0.999016174439731,0.000841668023540935,0.000142157536728105,0,0,10911819
"92",92,0.49007410057103,760.353149873268,4.16887803093554,3.62790122945024,5.31074439690768,2.79856009381468,5.96378962136883,1.80971737661592,0.987267825319967,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.61,0.999351460621527,8.20509457401686e-06,0.000640334283899215,0,0,10911819
