parid,rho_epi,tau_epi,beta1_joint,beta2_joint,beta3_joint,beta4_joint,beta5_joint,beta6_joint,nu,gamma,sigma,theta0,alpha,mu,delta,sig_sq_epi,kappa,S_0,E_0,I_0,A_0,R_0,pop_0,rho_end,tau_end,sig_sq_end
11,0.1034482848275862,7.4622089066542685,4.375309090226839,9.449143311995218,5.500345253835569,1.723400029250135,3.720303376367574,6.642475875895947,0.9990019025397487,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.38117183464754917,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.1034482848275862,7.4622089066542685,0.38117183464754917
12,0.1034482848275862,7.4414093310479075,5.067989288856807,8.974688521223229,7.654822017300699,2.8394304572314586,4.4290548498725295,9.23108561204985,0.9756689431960694,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.220172543001796,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.1034482848275862,7.4414093310479075,4.220172543001796
13,0.13793104310344825,17.05912231421098,4.059727558063186,5.1137333763992965,5.437985149202722,4.989106627682261,0.49236779894761207,2.251890428207765,0.9923296130611561,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.7933339390523075,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.13793104310344825,17.05912231421098,3.7933339390523075
14,0.13793104310344825,13.32416264154017,9.03271979662018,4.709557903062605,9.919063318528877,2.182663062903453,3.2698075992266173,0.49745642209456103,0.9979501586174593,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.2902287878530727,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.13793104310344825,13.32416264154017,1.2902287878530727
15,0.13793104310344825,18.891818295931444,9.601604782550389,2.4948453514891304,5.614351833212101,1.342917085559617,9.424987928999347,5.183220396765692,0.9771024163812398,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.3815525778080886,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.13793104310344825,18.891818295931444,3.3815525778080886
16,0.1724138013793103,3.1631676878314465,9.09094125972838,5.665692843464569,7.655388405781007,3.5234510113442448,8.25752241321569,2.693662746608734,0.9732053392101079,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.5306553095861224,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.1724138013793103,3.1631676878314465,2.5306553095861224
17,0.1724138013793103,8.90963031956926,9.116273280321517,0.21592597807809427,5.047755695909022,3.5725068260823813,6.0921680046428,0.1811155872925135,0.9805846721166744,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.388191829325058,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.1724138013793103,8.90963031956926,4.388191829325058
18,0.1724138013793103,13.415541207417846,6.068730226645355,8.477848339978085,1.6141401891600573,3.060493076448444,2.2562195554668847,0.5227083419613693,0.9525062191183679,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.4353962241075897,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.1724138013793103,13.415541207417846,3.4353962241075897
19,0.2068965596551724,9.54587340215221,8.234555074190315,8.259163636422642,2.142231271922329,1.8684688730846313,4.720278222176159,6.616196234583233,0.9722632098244502,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.39864352763456645,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.2068965596551724,9.54587340215221,0.39864352763456645
20,0.2068965596551724,6.439477241132408,4.313105058959337,0.6613949672344374,0.8064763606406256,8.290347375612308,8.622598108041936,0.11638477310654251,0.9586275980924256,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.8816442670155411,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.2068965596551724,6.439477241132408,0.8816442670155411
21,0.2068965596551724,19.16454426688142,0.3717246637994686,3.1014955236955744,6.0720716770009675,8.128014642466793,5.787469137415585,8.286544189494085,0.9737050458788872,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.1118678018639065,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.2068965596551724,19.16454426688142,2.1118678018639065
22,0.24137931793103445,2.3328160792589188,1.1466591022448804,5.688964659779233,9.693684321858818,6.646275613792337,1.6142624625008664,8.650576269854692,0.9959123054868542,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.756910903427939,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.24137931793103445,2.3328160792589188,4.756910903427939
23,0.24137931793103445,7.288267032476142,5.134401463924386,2.451306540342546,6.496019831743312,3.4644460498371625,2.6121583518509413,5.231838389776626,0.963160353875719,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.017289965311561,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.24137931793103445,7.288267032476142,2.017289965311561
24,0.24137931793103445,15.175155360018834,5.296151156541958,4.015512499625403,1.0840975432259383,0.20252903322875074,4.391780738348307,5.295460708909804,0.9991468325606547,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.900098907548426,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.24137931793103445,15.175155360018834,4.900098907548426
25,0.2758620762068965,19.131733392598107,9.491663784770838,6.083021464683658,7.323192807647791,8.48682074822716,6.836128169987088,5.618259134209236,0.9601627168012783,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.030334399610038438,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.2758620762068965,19.131733392598107,0.030334399610038438
26,0.2758620762068965,7.830361151136458,5.473924396080881,7.101334817997405,2.6252805076463654,8.92605845128681,0.08112461172512839,6.4144479766348335,0.9629548925557173,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.7081271610478197,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.2758620762068965,7.830361151136458,3.7081271610478197
27,0.2758620762068965,18.232606913894415,5.355393630916915,5.510091798363347,1.0155072793967115,6.303329156150042,4.39046677025251,7.823849919004052,0.9995144065469503,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.1855330255992251,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.2758620762068965,18.232606913894415,1.1855330255992251
28,0.31034483448275857,13.139159812126309,3.824732753600054,6.304757900439923,0.6299038706404216,2.0808990796565143,9.625580776520263,9.995938467327912,0.9913604668108746,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.5131584545914505,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.31034483448275857,13.139159812126309,2.5131584545914505
29,0.31034483448275857,13.612150055123493,7.019363243896555,8.61701702712895,3.888270541239755,7.220893861072515,5.549834489801743,7.624451830289394,0.9972752714995294,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.387295538583605,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.31034483448275857,13.612150055123493,1.387295538583605
30,0.31034483448275857,16.16533214226365,8.354185961817128,0.3021964906168112,8.269510716372924,6.23227403071202,4.934284154366634,1.4751648422473551,0.9816795038175768,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.46419285561335943,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.31034483448275857,16.16533214226365,0.46419285561335943
31,0.3448275927586206,8.828641523839906,8.03552556569775,6.979749787435212,3.925085687686027,4.955334691835257,1.5989353376459865,8.473992331571742,0.9681236731004901,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.5459499274906702,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.3448275927586206,8.828641523839906,0.5459499274906702
32,0.3448275927586206,3.8582553509622812,5.288444285286497,7.551617468952101,7.529029923272616,1.0506128505439807,6.603609705683482,5.7164368154108,0.9849125864333473,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.3154697761843,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.3448275927586206,3.8582553509622812,4.3154697761843
33,0.3448275927586206,6.0441756213549525,6.654150276779437,0.9844472570978455,6.930803682496355,2.3228836626040974,3.317321262524973,6.9340705525401996,0.9695567792397923,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.3461631241111602,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.3448275927586206,6.0441756213549525,1.3461631241111602
34,0.3793103510344827,6.1178647871129215,7.631973985353731,3.398768089906128,4.445360489745089,4.700579338771311,7.521475481582926,5.541099724805701,0.9988263028557413,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.860954138012472,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.3793103510344827,6.1178647871129215,4.860954138012472
35,0.3793103510344827,19.6854341046419,7.252126422519843,6.592116549486219,8.069116517628848,4.949735207988199,5.165615496709093,9.703890776756959,0.9623689701664261,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.225676827054736,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.3793103510344827,19.6854341046419,4.225676827054736
36,0.3793103510344827,9.311461716191843,6.210394986352796,6.6134916831400465,9.71697958887591,1.975209564773045,0.4139561564934381,9.223240788638037,0.9770252464339136,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.15336940976866148,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.3793103510344827,9.311461716191843,0.15336940976866148
37,0.4137931093103448,16.086174106691033,2.8728765419360895,9.044043668641379,0.4770530583546671,3.0121528457387483,6.164461938116548,3.1080012053624007,0.9832849273458123,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.936073025468484,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.4137931093103448,16.086174106691033,4.936073025468484
38,0.4137931093103448,3.1412982824258506,0.8365126848071086,1.0575369032660404,0.42063470327162794,0.6266425862037172,8.67180865504091,2.6854079643128426,0.9680856861639767,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.29374952172921936,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.4137931093103448,3.1412982824258506,0.29374952172921936
39,0.4137931093103448,7.204781449632719,9.295188086177854,3.443806982323496,8.137573276367016,1.222336339710741,5.884259415736351,7.093884677451143,0.9682467306498438,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.3787697111513963,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.4137931093103448,7.204781449632719,1.3787697111513963
40,0.44827586758620686,2.3628558786585927,5.056824845290528,0.05896079220567919,2.7755724971887816,4.056920267770191,0.34974673393758765,3.62335098971118,0.9578577922307886,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.071770602924359,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.44827586758620686,2.3628558786585927,1.071770602924359
41,0.44827586758620686,11.661433544475585,0.21828270847937456,0.9001954491036795,0.06673758948834234,7.840753775305904,4.101328962141056,7.155347694927307,0.9568310162634588,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.381280965295498,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.44827586758620686,11.661433544475585,4.381280965295498
42,0.44827586758620686,5.201876111328602,7.4306097605972425,1.094580084044684,6.105958365758992,7.027046922891604,7.962770369107599,0.816876020735158,0.9668398322304711,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.838077098996395,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.44827586758620686,5.201876111328602,1.838077098996395
43,0.4827586258620689,6.284961937693879,8.363046334288796,4.434454138947275,6.435533378164034,7.380827060231224,7.699180508728184,3.647739194037457,0.9674245177186094,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.8491377389443953,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.4827586258620689,6.284961937693879,0.8491377389443953
44,0.4827586258620689,12.998074992094189,0.530449842118458,5.863756011653809,2.3488426332562575,5.945189125310054,8.36928355989521,1.0200335606599382,0.9520755696459673,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.6227368264831696,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.4827586258620689,12.998074992094189,0.6227368264831696
45,0.4827586258620689,16.481469745514914,8.231131830429593,6.529364048384742,7.04484668357047,0.9939512503026212,2.955533455364773,6.174852464264931,0.9538884445908479,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.8552663684127166,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.4827586258620689,16.481469745514914,1.8552663684127166
46,0.517241384137931,14.602510388940573,7.620088749337514,2.3298501324128136,8.146635072956796,3.415255195654027,0.8361928034424374,3.4362184006765304,0.9640310371760279,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.8253467653105067,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.517241384137931,14.602510388940573,2.8253467653105067
47,0.517241384137931,10.23481929837726,3.9999178290779276,7.8146695161560995,3.744054504830136,9.465077691764977,0.024972566003967463,0.2588055315855451,0.9893369089928455,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.9563756620133,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.517241384137931,10.23481929837726,4.9563756620133
48,0.517241384137931,19.73804042674601,3.2694018778602523,6.562047559180434,0.4820372918825443,6.673974059854754,7.611729360890052,4.4525150820572454,0.9903762558591552,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.820975640358818,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.517241384137931,19.73804042674601,4.820975640358818
49,0.5517241424137931,14.944696199614555,6.078274527491156,8.778735974460032,6.334838131809183,7.034008307679064,4.97893872022548,4.659357599982477,0.9540942203253507,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.241390621906994,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.5517241424137931,14.944696199614555,4.241390621906994
50,0.5517241424137931,19.15107909659855,9.340839306889825,6.202840828716491,0.29253855444707977,5.197039512466373,9.168971348637,3.3875306073669424,0.9851474948227406,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.5980365474718337,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.5517241424137931,19.15107909659855,3.5980365474718337
51,0.5517241424137931,19.619980888906866,3.173779436138421,9.060005403683457,0.6498746792822723,7.760542393885982,6.944532920911981,7.720001561329526,0.9616815367946401,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.840640718349228,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.5517241424137931,19.619980888906866,3.840640718349228
52,0.5862069006896552,7.491072391392663,8.812750491898022,7.871261504691627,6.630121968092246,0.1419513798863626,7.429217149294946,7.967580487223556,0.9684303455869667,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.021544194743151,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.5862069006896552,7.491072391392663,4.021544194743151
53,0.5862069006896552,5.212338440353051,6.2355282883199,3.9253303973490956,8.060379144929597,3.545584669982118,7.266689113148941,1.2977018611826023,0.9645482646301389,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.065545360977456,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.5862069006896552,5.212338440353051,4.065545360977456
54,0.5862069006896552,7.874306375626475,4.705339647427676,3.367488724842817,3.08352605043226,3.657104476057983,4.440812012736605,8.13530724747127,0.996219523192849,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.210476601887074,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.5862069006896552,7.874306375626475,4.210476601887074
55,0.6206896589655172,4.423349633580074,1.5136526463657753,1.3089117300074535,0.8828480131728078,6.929724961826269,1.223719302511165,2.7749634890591564,0.9820576960919425,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.8224075802491395,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6206896589655172,4.423349633580074,4.8224075802491395
56,0.6206896589655172,1.9472238165326416,9.80283315062632,1.1331790321991477,8.466656755343678,4.415895932446782,8.993580672059267,4.527547120198235,0.9543945852201432,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.594861001024488,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6206896589655172,1.9472238165326416,2.594861001024488
57,0.6206896589655172,12.679896521149203,0.39999759619198033,6.825650604759197,7.678216162835527,7.238938682988721,5.365922193040681,8.91316360804876,0.9837648041080683,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.189231395883589,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6206896589655172,12.679896521149203,4.189231395883589
58,0.6551724172413793,11.067053668666631,8.72951546230951,7.890727082478331,8.970599996494624,8.602083923900594,9.907951366631206,9.913237043665085,0.9862458200776019,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.140089044253726,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6551724172413793,11.067053668666631,3.140089044253726
59,0.6551724172413793,7.279257557587698,9.079621704387316,8.910037956775197,1.9080262592703747,5.983123258157921,2.1845602345086417,4.931930867530573,0.9604318369878455,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.774427501297035,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6551724172413793,7.279257557587698,4.774427501297035
60,0.6551724172413793,12.072130983695388,7.782746942469921,3.1144877693050788,9.7346239164737,1.5144502100638384,4.410201125405915,7.595957557445515,0.9900640705251135,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.14525452609411316,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6551724172413793,12.072130983695388,0.14525452609411316
61,0.6896551755172413,9.380150596844032,2.1422408761863787,6.820469959956966,4.978555671907191,8.223842662005419,2.153187613787637,2.135249584302745,0.976635868777521,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.3918499278929977,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6896551755172413,9.380150596844032,2.3918499278929977
62,0.6896551755172413,17.892658280674368,8.498847426531077,6.554904310377235,4.562512967347955,0.7708786716600594,1.886629828597574,3.945562001923183,0.9964661725331098,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.0206905045917276,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6896551755172413,17.892658280674368,2.0206905045917276
63,0.6896551755172413,12.210411665495485,2.7459549049650294,4.028634129223573,6.5338201312089135,4.514798331622937,8.096020713173262,0.6882691415956611,0.9611063794000074,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.199486052544703,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.6896551755172413,12.210411665495485,4.199486052544703
64,0.7241379337931034,15.687213682802394,0.18248844757131047,5.6910092620762756,6.739123578043779,8.60076307333097,0.4532579831081197,9.517938664696889,0.9900746242143214,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.6378145648371651,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7241379337931034,15.687213682802394,1.6378145648371651
65,0.7241379337931034,19.929034318076447,1.1478751324587406,2.054161779445762,5.462840917042619,8.226845856001965,3.811181472301967,5.736971050927172,0.9593797767884098,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.01766516344616959,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7241379337931034,19.929034318076447,0.01766516344616959
66,0.7241379337931034,14.740340796066448,6.885997781375762,8.774394169572366,5.461024186096497,1.1518967276905272,9.181959384668467,9.345622465545556,0.9730645622708834,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.7985391870681307,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7241379337931034,14.740340796066448,3.7985391870681307
67,0.7586206920689654,15.089274060213938,3.948983597242947,4.1450667759670585,6.874275962203389,4.2684574570650415,7.750908346140286,2.9058430350960505,0.9527159697492606,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.7677608095245634,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7586206920689654,15.089274060213938,3.7677608095245634
68,0.7586206920689654,1.777045470662415,5.460576469066941,1.6323359039597876,4.079346270892513,2.3009783782313358,9.878257513058438,4.835295337768789,0.9523152534733526,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.624544039312398,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7586206920689654,1.777045470662415,0.624544039312398
69,0.7586206920689654,15.471951373387128,4.252073048257436,9.315441744470506,6.213459894439743,8.076882227516261,3.7622830720336826,9.49605480772826,0.9707404023385606,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.252375063370261,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7586206920689654,15.471951373387128,3.252375063370261
70,0.7931034503448275,9.836834632558748,9.032535746324696,8.07576312702765,4.29026012365993,4.902768328829958,8.498453044017058,6.907351780992067,0.9978048487566411,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.00807046757266736,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7931034503448275,9.836834632558748,0.00807046757266736
71,0.7931034503448275,1.6846746548544616,1.8409799699448683,4.325980793786462,4.089157225689545,2.4032540394139423,4.888966810469323,6.2672551725067205,0.9912597227259539,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.7600941035857094,0,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819,0.7931034503448275,1.6846746548544616,1.7600941035857094
